100,0.1,50,390,2488300
100,0.1,75,501,3441500
100,0.1,100,642,4788000
100,0.1,125,851,6231600
100,0.1,150,1053,8494600
100,0.1,175,1115,9259200
100,0.1,200,1219,10723100
100,0.2,50,703,4539800
100,0.2,75,1012,6810000
100,0.2,100,1382,9469600
100,0.2,125,1690,11648200
100,0.2,150,2041,14691900
100,0.2,175,2298,17729400
100,0.2,200,2782,21794400
100,0.3,50,1107,6105900
100,0.3,75,1557,9057600
100,0.3,100,2115,12945100
100,0.3,125,2649,16583100
100,0.3,150,3161,24775400
100,0.3,175,3528,27449600
100,0.3,200,3968,31046500
100,0.4,50,1496,7553700
100,0.4,75,2163,12137500
100,0.4,100,2747,16121800
100,0.4,125,3389,22175300
100,0.4,150,3951,27975200
100,0.4,175,4592,32607700
100,0.4,200,5267,39343700
100,0.5,50,1791,8488200
100,0.5,75,2621,14807900
100,0.5,100,3483,20185500
100,0.5,125,4302,27474500
100,0.5,150,5098,33954300
100,0.5,175,5853,41369300
100,0.5,200,6852,48605700
200,0.1,50,746,8630200
200,0.1,75,1006,13858400
200,0.1,100,1404,19078200
200,0.1,125,1737,24616000
200,0.1,150,1984,29388800
200,0.1,175,2343,36290300
200,0.1,200,2735,44005800
200,0.2,50,1438,14786400
200,0.2,75,2141,25683200
200,0.2,100,2813,34431700
200,0.2,125,3394,45472700
200,0.2,150,4080,56634000
200,0.2,175,4642,66155900
200,0.2,200,5351,82187900
200,0.3,50,2157,20740800
200,0.3,75,3208,34350200
200,0.3,100,4129,47658800
200,0.3,125,5234,64445700
200,0.3,150,6119,81100400
200,0.3,175,7173,99773300
200,0.3,200,8102,113555900
200,0.4,50,3035,25129900
200,0.4,75,4157,43503600
200,0.4,100,5538,62016100
200,0.4,125,6870,80234500
200,0.4,150,8285,102956800
200,0.4,175,9367,127079300
200,0.4,200,10760,148457500
200,0.5,50,3759,30345300
200,0.5,75,5338,56830900
200,0.5,100,7008,76740800
200,0.5,125,8758,98163400
200,0.5,150,10402,128265700
200,0.5,175,11923,169413800
200,0.5,200,13459,178667800
300,0.1,100,2070,39340200
300,0.1,125,2598,53295900
300,0.1,150,2975,60255200
300,0.1,175,3535,72828400
300,0.1,200,3975,88800800
300,0.2,100,4181,68970700
300,0.2,125,5146,89507700
300,0.2,150,6057,116827800
300,0.2,175,7009,140063400
300,0.2,200,7922,164581300
300,0.3,100,6245,104907600
300,0.3,125,7826,131365700
300,0.3,150,9367,163721100
300,0.3,175,10461,194577500
300,0.3,200,12161,234759400
300,0.4,100,8443,125650000
300,0.4,125,10364,164302000
300,0.4,150,12473,212417000
300,0.4,175,14184,259081300
300,0.4,200,16337,314146500
300,0.5,100,10390,149324400
300,0.5,125,13081,205513200
300,0.5,150,15518,262798400
300,0.5,175,17893,320123400
300,0.5,200,20549,365981300
400,0.1,100,2762,65944800
400,0.1,125,3422,83467300
400,0.1,150,3980,101307800
400,0.1,175,4631,127157600
400,0.1,200,5406,150354700
400,0.2,100,5650,114106000
400,0.2,125,6954,161764000
400,0.2,150,8040,193924200
400,0.2,175,9467,236672500
400,0.2,200,10730,283837900
400,0.3,100,8441,164769800
400,0.3,125,10355,214095300
400,0.3,150,12436,294791400
400,0.3,175,14176,347812100
400,0.3,200,16349,421331600
400,0.4,100,11248,205379300
400,0.4,125,13772,287238100
400,0.4,150,16444,362850000
400,0.4,175,19061,467859600
400,0.4,200,21608,527187200
400,0.5,100,14018,245613200
400,0.5,125,17315,367364900
400,0.5,150,20616,455642300
400,0.5,175,23463,568111100
400,0.5,200,26808,646010900
500,0.1,100,3505,101821800
500,0.1,125,4399,130189500
500,0.1,150,5146,174260500
500,0.1,175,5880,191526100
500,0.1,200,6752,228602800
500,0.2,100,6986,171544500
500,0.2,125,8656,227668300
500,0.2,150,10283,297240600
500,0.2,175,11966,362946400
500,0.2,200,13602,436397000
500,0.3,100,10459,257988900
500,0.3,125,12994,350437600
500,0.3,150,15576,450345300
500,0.3,175,17957,527249600
500,0.3,200,20225,621773700
500,0.4,100,13984,305911700
500,0.4,125,17259,418561800
500,0.4,150,20747,546281700
500,0.4,175,23721,682678800
500,0.4,200,27049,830774800
500,0.5,100,17884,365028300
500,0.5,125,21253,497540600
500,0.5,150,25669,662560400
500,0.5,175,29939,825720500
500,0.5,200,33376,981679100
600,0.1,150,6046,224214500
600,0.1,175,7115,268031600
600,0.1,200,8058,340531500
600,0.2,150,12304,445395800
600,0.2,175,14351,534561600
600,0.2,200,16373,622717800
600,0.3,150,18591,600146100
600,0.3,175,21362,752445800
600,0.3,200,24158,897055600
600,0.4,150,24708,797443400
600,0.4,175,28822,982782400
600,0.4,200,32229,1162707100
600,0.5,150,30895,988678800
600,0.5,175,35539,1169317400
600,0.5,200,40602,1428535700
700,0.1,150,7066,327054600
700,0.1,175,8264,377207600
700,0.1,200,9523,451170100
700,0.2,150,14428,580596000
700,0.2,175,16631,706601900
700,0.2,200,19133,840518100
700,0.3,150,21715,854329900
700,0.3,175,24995,1033032500
700,0.3,200,28397,1220302500
700,0.4,150,28913,1038181300
700,0.4,175,33435,1314595900
700,0.4,200,37751,1615677100
700,0.5,150,35435,1259736100
700,0.5,175,41333,1589054800
700,0.5,200,47366,1937265400
800,0.1,150,8075,433394600
800,0.1,175,9549,519955500
800,0.1,200,10879,578676300
800,0.2,150,16412,758272800
800,0.2,175,18916,914275400
800,0.2,200,21588,1084233100
800,0.3,150,24738,1066309200
800,0.3,175,28567,1350304000
800,0.3,200,32389,1575724100
800,0.4,150,32875,1368271900
800,0.4,175,37982,1749720900
800,0.4,200,43086,2098503500
800,0.5,150,40891,1594034300
800,0.5,175,47271,2042052400
800,0.5,200,53801,2507243700
900,0.1,150,9265,565957400
900,0.1,175,10654,632490800
900,0.1,200,12141,820332700
900,0.2,150,18571,972211400
900,0.2,175,21292,1197958400
900,0.2,200,24324,1482663600
900,0.3,150,27679,1382442500
900,0.3,175,32153,1714293700
900,0.3,200,36261,2087410300
900,0.4,150,36605,1780450800
900,0.4,175,42528,2221054200
900,0.4,200,48551,2624934000
900,0.5,150,46302,2130710700
900,0.5,175,53400,2582713500
900,0.5,200,60292,3254127800
1000,0.1,150,10276,665161800
1000,0.1,175,11830,843343400
1000,0.1,200,13487,941460900
1000,0.2,150,20802,1202503200
1000,0.2,175,23543,1512049100
1000,0.2,200,26995,1789080500
1000,0.3,150,30720,1654939500
1000,0.3,175,35765,2073663600
1000,0.3,200,40271,2477768400
1000,0.4,150,40879,2186810300
1000,0.4,175,47102,2678080200
1000,0.4,200,53676,3366309100
1000,0.5,150,52559,2613595800
1000,0.5,175,59497,3248234800
1000,0.5,200,66834,3917932200
1100,0.1,150,11452,823478700
1100,0.1,175,13085,964013900
1100,0.1,200,14731,1125907100
1100,0.2,150,22572,1460200700
1100,0.2,175,26118,1886259800
1100,0.2,200,29679,2133184400
1100,0.3,150,34053,2089374400
1100,0.3,175,39166,2618715700
1100,0.3,200,44204,3110300500
1100,0.4,150,45547,2644042400
1100,0.4,175,52369,3395630500
1100,0.4,200,59098,3933194100
1100,0.5,150,58435,3064051000
1100,0.5,175,66152,4029970200
1100,0.5,200,74148,5108209900
1200,0.1,150,12356,944676800
1200,0.1,175,14281,1240259600
1200,0.1,200,16200,1374440100
1200,0.2,150,24691,1862274100
1200,0.2,175,28746,2326517300
1200,0.2,200,32496,2672493400
1200,0.3,150,36676,2480435000
1200,0.3,175,42720,3194452100
1200,0.3,200,48683,3735286800
1200,0.4,150,49576,3277272900
1200,0.4,175,56983,4300090100
1200,0.4,200,64100,5006177000
1200,0.5,150,64360,3890173200
1200,0.5,175,72247,4822492600
1200,0.5,200,80699,5990234000
1300,0.1,150,13447,1241810200
1300,0.1,175,15481,1442195200
1300,0.1,200,17575,1684337500
1300,0.2,150,26643,2313427500
1300,0.2,175,31033,2822853800
1300,0.2,200,35046,3115299900
1300,0.3,150,39884,3080462200
1300,0.3,175,45949,3694081700
1300,0.3,200,52603,4681355900
1300,0.4,150,54265,3888292900
1300,0.4,175,61955,4870573200
1300,0.4,200,70061,5918905100
1300,0.5,150,72081,4643007300
1300,0.5,175,79167,5964803200
1300,0.5,200,87975,7181145000
1400,0.1,150,14437,1371991700
1400,0.1,175,16644,1774764500
1400,0.1,200,18956,1998808500
1400,0.2,150,28912,2677204600
1400,0.2,175,33506,3447102800
1400,0.2,200,37801,3605643500
1400,0.3,150,43081,3668932000
1400,0.3,175,49508,4652998700
1400,0.3,200,56640,5273642700
1400,0.4,150,58793,4656654800
1400,0.4,175,67298,5648855900
1400,0.4,200,75148,7016434000
1400,0.5,175,85846,7164279900
1400,0.5,200,94923,8447053500
1500,0.1,150,15479,1759079100
1500,0.1,175,17823,2065940600
1500,0.1,200,20362,2325815100
1500,0.2,150,30667,3214072000
1500,0.2,175,35630,3721479300
1500,0.2,200,40484,4466592900
1500,0.3,150,46098,4254601600
1500,0.3,175,53067,5093344100
1500,0.3,200,60567,6266348400
1500,0.4,150,64202,5134864800
1500,0.4,175,71932,6802600200
1500,0.4,200,81128,7923165800
1500,0.5,175,94262,8078790800
1500,0.5,200,103124,10265323300
1600,0.1,150,16589,1814157900
1600,0.1,175,19019,2346617300
