5,128,84500
6,162,164000
7,227,362600
8,271,660200
9,310,1313500
10,346,1178300
11,392,1488200
12,432,2306800
13,547,2879300
14,565,4347400
15,674,5529800
16,732,7692100
17,710,11195900
18,838,14197400
19,922,19681500
20,801,46182600
21,987,37146800
22,1140,45647800
23,1145,63985400
24,1331,80950600
25,1473,87894700
26,1382,141989400
27,1567,160987300
28,987,108164600
29,1237,114730000
30,1931,81081300
31,1472,126991800
32,631,9870995700
34,1130,348416200
37,913,3464035200
38,837,10061688100
39,862,6976038500
41,931,8609184900
42,998,14453631700
44,1128,24693245600
