5,cp-sat,-,0,74386400
5,cp-sat,-,0,74494800
6,cp-sat,-,0,107589000
6,cp-sat,-,0,110680000
6,cp-sat,-,0,107640000
6,cp-sat,-,0,108081000
6,cp-sat,-,0,111297000
7,cp-sat,-,0,147828000
7,cp-sat,-,0,147044000
7,cp-sat,-,0,143810000
7,cp-sat,-,0,145198000
7,cp-sat,-,0,144671000
8,cp-sat,-,0,187843000
8,cp-sat,-,0,191773000
8,cp-sat,-,0,189162000
8,cp-sat,-,0,191066000
8,cp-sat,-,0,223715000
9,cp-sat,-,0,241272000
9,cp-sat,-,0,242085000
9,cp-sat,-,0,240719000
9,cp-sat,-,0,240045000
9,cp-sat,-,0,240211000
10,cp-sat,-,0,295116000
10,cp-sat,-,0,294348000
10,cp-sat,-,0,296083000
10,cp-sat,-,0,297445000
10,cp-sat,-,0,297175000
